spice,area,cca3,continent,production,consumption
Chillies (dry),Central African Republic,CAF,Africa,118.6,132.2
Chillies (dry),Chad,TCD,Africa,0.0,4.8
Chillies (dry),Chile,CHL,South America,0.0,1228.2
Chillies (dry),"China, Hong Kong SAR",HKG,Asia,0.0,1898.8
Chillies (dry),"China, Macao SAR",MAC,Asia,0.0,20.0
Chillies (dry),"China, mainland",CHN,Asia,325522.0,161347.7
Chillies (dry),"China, Taiwan Province of",TWN,Asia,0.0,3880.3
Chillies (dry),Colombia,COL,South America,0.0,-2402.8
Chillies (dry),Comoros,COM,Africa,0.0,0.0
Chillies (dry),Congo,COG,Africa,0.0,7.2
Chillies (dry),Cook Islands,COK,Oceania,0.0,0.5
Chillies (dry),Costa Rica,CRI,North America,0.0,814.3
Chillies (dry),Côte d'Ivoire,CIV,Africa,131558.6,130673.4
Chillies (dry),Croatia,HRV,Europe,0.0,946.4
Chillies (dry),Cuba,CUB,North America,0.0,93.0
Chillies (dry),Cyprus,CYP,Europe,0.0,110.1
Chillies (dry),Czechia,CZE,Europe,0.0,2240.4
Chillies (dry),Democratic People's Republic of Korea,PRK,Asia,0.0,2689.3
Chillies (dry),Democratic Republic of the Congo,COD,Africa,36688.1,36702.3
Chillies (dry),Denmark,DNK,Europe,0.0,986.4
Chillies (dry),Djibouti,DJI,Africa,546.0,587.6
Chillies (dry),Dominica,DMA,North America,0.0,2.3
Chillies (dry),Dominican Republic,DOM,North America,0.0,80.8
Chillies (dry),Ecuador,ECU,South America,0.0,-1118.5
Chillies (dry),Egypt,EGY,Africa,63974.8,63930.7
Chillies (dry),El Salvador,SLV,North America,0.0,542.7
Chillies (dry),Equatorial Guinea,GNQ,Africa,0.0,2.3
Chillies (dry),Estonia,EST,Europe,0.0,513.4
Chillies (dry),Eswatini,SWZ,Africa,0.0,4.4
Chillies (dry),Ethiopia,ETH,Africa,298205.8,298113.9
Chillies (dry),Faroe Islands,FRO,Europe,0.0,2.1
Chillies (dry),Fiji,FJI,Oceania,0.0,53.3
Chillies (dry),Finland,FIN,Europe,0.0,568.3
Chillies (dry),France,FRA,Europe,0.0,5550.6
Chillies (dry),French Polynesia,PYF,Oceania,0.0,3.6
Chillies (dry),Gabon,GAB,Africa,0.0,2.6
Chillies (dry),Gambia,GMB,Africa,0.0,102.3
Chillies (dry),Georgia,GEO,Asia,0.0,424.9
Chillies (dry),Germany,DEU,Europe,0.0,16089.2
Chillies (dry),Ghana,GHA,Africa,109359.6,109365.2
Chillies (dry),Greece,GRC,Europe,0.0,1107.5
Chillies (dry),Grenada,GRD,North America,5.3,13.0
Chillies (dry),Guatemala,GTM,North America,0.0,1170.3
Chillies (dry),Guinea,GIN,Africa,0.0,326.7
Chillies (dry),Guinea-Bissau,GNB,Africa,0.0,0.4
Chillies (dry),Guyana,GUY,South America,0.0,51.7
Chillies (dry),Haiti,HTI,North America,0.0,148.9
Chillies (dry),Honduras,HND,North America,0.0,-1388.5
Chillies (dry),Hungary,HUN,Europe,0.0,1815.0
Chillies (dry),Iceland,ISL,Europe,0.0,34.4
Chillies (dry),India,IND,Asia,2782000.0,2308530.7
Chillies (dry),Indonesia,IDN,Asia,0.0,44718.8
Chillies (dry),Iran (Islamic Republic of),IRN,Asia,3953.3,3838.4
Chillies (dry),Iraq,IRQ,Asia,544.1,2647.9
Chillies (dry),Ireland,IRL,Europe,0.0,671.4
Chillies (dry),Israel,ISR,Asia,0.0,1845.1
Chillies (dry),Italy,ITA,Europe,0.0,2270.1
Chillies (dry),Jamaica,JAM,North America,19563.0,19656.6
Chillies (dry),Japan,JPN,Asia,0.0,15062.1
Chillies (dry),Jordan,JOR,Asia,0.0,-3160.4
Chillies (dry),Kazakhstan,KAZ,Asia,440.5,21873.2
Chillies (dry),Kenya,KEN,Africa,2989.4,3094.0
Chillies (dry),Kiribati,KIR,Oceania,0.0,0.0
Chillies (dry),Kuwait,KWT,Asia,0.0,1466.3
Chillies (dry),Kyrgyzstan,KGZ,Asia,991.9,2821.1
Chillies (dry),Lao People's Democratic Republic,LAO,Asia,12567.4,13207.8
Chillies (dry),Latvia,LVA,Europe,0.0,-65.8
Chillies (dry),Lebanon,LBN,Asia,0.0,446.9
Chillies (dry),Lesotho,LSO,Africa,0.0,9.1
Chillies (dry),Liberia,LBR,Africa,0.0,35.1
Chillies (dry),Libya,LBY,Africa,0.0,2144.7
Chillies (dry),Lithuania,LTU,Europe,0.0,320.3
Chillies (dry),Luxembourg,LUX,Europe,0.0,29.2
Chillies (dry),Madagascar,MDG,Africa,1830.4,1733.6
Chillies (dry),Malawi,MWI,Africa,1334.1,1269.5
Chillies (dry),Malaysia,MYS,Asia,2420.3,52035.3
Chillies (dry),Maldives,MDV,Asia,10.2,559.4
Chillies (dry),Mali,MLI,Africa,4424.3,4004.5
Chillies (dry),Malta,MLT,Europe,0.0,44.7
Chillies (dry),Mauritania,MRT,Africa,0.0,13.5
Chillies (dry),Mauritius,MUS,Africa,0.0,277.9
Chillies (dry),Mexico,MEX,North America,61090.5,68199.1
Chillies (dry),Mongolia,MNG,Asia,0.0,57.6
Chillies (dry),Montenegro,MNE,Europe,0.0,127.7
Chillies (dry),Morocco,MAR,Africa,27260.4,25237.5
Chillies (dry),Mozambique,MOZ,Africa,0.0,-3.0
Chillies (dry),Myanmar,MMR,Asia,151787.0,141766.5
Chillies (dry),Namibia,NAM,Africa,0.0,-9.8
Chillies (dry),Nauru,NRU,Oceania,0.0,0.1
Chillies (dry),Nepal,NPL,Asia,86992.0,96335.6
Chillies (dry),Netherlands (Kingdom of the),NLD,Europe,0.0,3592.8
Chillies (dry),New Caledonia,NCL,Oceania,0.0,2.3
Chillies (dry),New Zealand,NZL,Oceania,0.0,650.2
Chillies (dry),Nicaragua,NIC,North America,0.0,26.3
Chillies (dry),Niger,NER,Africa,33077.9,33702.7
Chillies (dry),Nigeria,NGA,Africa,64618.0,65395.3
Chillies (dry),Niue,NIU,Oceania,0.0,0.2
Chillies (dry),North Macedonia,MKD,Europe,3714.5,4216.8
Chillies (dry),Norway,NOR,Europe,0.0,480.6
Chillies (dry),Oman,OMN,Asia,0.0,1854.4
Chillies (dry),Pakistan,PAK,Asia,109615.0,105117.1
Chillies (dry),Palestine,PSE,Asia,0.0,7.2
Chillies (dry),Panama,PAN,North America,0.0,177.6
Chillies (dry),Papua New Guinea,PNG,Oceania,2.1,6.5
Chillies (dry),Paraguay,PRY,South America,0.0,26.8
Chillies (dry),Peru,PER,South America,37882.8,-6938.6
Chillies (dry),Philippines,PHL,Asia,0.0,1559.8
Chillies (dry),Poland,POL,Europe,0.0,5785.7
Chillies (dry),Portugal,PRT,Europe,0.0,937.2
Chillies (dry),Qatar,QAT,Asia,0.0,1965.1
Chillies (dry),Republic of Korea,KOR,Asia,0.0,23673.6
Chillies (dry),Republic of Moldova,MDA,Europe,0.0,91.0
Chillies (dry),Romania,ROU,Europe,0.0,2059.2
Chillies (dry),Russian Federation,RUS,Europe,0.0,9831.4
Chillies (dry),Rwanda,RWA,Africa,0.0,-605.8
Chillies (dry),Saint Kitts and Nevis,KNA,North America,0.0,0.1
Chillies (dry),Saint Lucia,LCA,North America,0.0,1.1
Chillies (dry),Saint Vincent and the Grenadines,VCT,North America,0.0,-0.5
Chillies (dry),Samoa,WSM,Oceania,0.0,0.3
Chillies (dry),Sao Tome and Principe,STP,Africa,0.0,-18.7
Chillies (dry),Saudi Arabia,SAU,Asia,0.0,5000.7
Chillies (dry),Senegal,SEN,Africa,5039.7,5076.2
Chillies (dry),Serbia,SRB,Europe,4332.3,4055.6
Chillies (dry),Seychelles,SYC,Africa,0.0,68.5
Chillies (dry),Sierra Leone,SLE,Africa,4294.9,4296.0
Chillies (dry),Singapore,SGP,Asia,0.0,5206.9
Chillies (dry),Slovakia,SVK,Europe,0.0,1383.7
Chillies (dry),Slovenia,SVN,Europe,0.0,993.7
Chillies (dry),Solomon Islands,SLB,Oceania,0.0,1.4
Chillies (dry),Somalia,SOM,Africa,0.0,39.4
Chillies (dry),South Africa,ZAF,Africa,18043.1,26578.6
Chillies (dry),South Sudan,SSD,Africa,6933.1,6975.6
Chillies (dry),Spain,ESP,Europe,0.0,-2405.3
Chillies (dry),Sri Lanka,LKA,Asia,0.0,39653.4
Chillies (dry),Sudan,SDN,Africa,10520.1,10669.0
Chillies (dry),Suriname,SUR,South America,0.0,33.0
